,CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
39,3505.60,1360.00,2682.00,1305.10,902.30,1666.10,606.90,1953.70
40,3741.10,1548.90,2871.80,1488.90,986.60,1855.80,688.50,2119.30
41,4114.20,1623.80,3026.40,1593.30,1047.60,2035.30,753.20,2242.30
42,4030.50,1590.20,3012.50,1543.70,1028.30,1939.80,731.90,2215.00
43,3899.40,1529.20,2957.50,1460.90,1010.70,1897.50,715.50,2162.80
44,3736.10,1418.80,2870.60,1345.50,971.50,1811.50,693.30,2051.40
45,3538.20,1293.30,2710.30,1267.00,912.70,1693.60,646.30,1939.70
46,3265.60,1182.70,2515.10,1160.00,832.30,1537.60,590.60,1794.70
47,2985.30,1082.70,2304.70,1059.30,756.10,1386.40,546.20,1649.70
48,2773.90,1075.10,2187.90,1057.40,726.40,1304.90,531.30,1846.80
49,2639.30,1033.80,2105.80,1010.60,699.60,1252.10,522.60,2171.20
50,2567.70,1009.50,2062.50,995.10,680.00,1225.70,514.70,2506.80
51,2544.90,1002.80,2054.90,992.60,673.80,1222.00,514.00,2499.70
52,2602.50,1045.50,2106.50,1028.50,689.70,1258.90,537.00,2112.00
53,2782.00,1160.80,2276.20,1136.80,750.50,1378.70,577.50,1682.80
54,3217.80,1351.70,2606.80,1289.10,896.30,1607.30,657.60,1944.00
55,3464.70,1459.00,2822.40,1399.30,932.10,1717.50,694.40,2061.10
56,3579.80,1495.40,2918.30,1424.60,960.30,1728.80,687.90,2100.10
57,3715.50,1477.30,2958.00,1437.00,1029.60,1758.80,666.50,2184.20
58,3754.60,1483.70,2985.70,1474.90,1059.00,1783.10,658.10,2216.90
59,3733.30,1469.60,2998.00,1469.20,1052.10,1769.80,652.80,2202.20
60,3696.80,1462.40,3019.70,1424.70,1007.80,1751.20,635.40,2175.20
61,3659.50,1450.90,3013.60,1418.20,986.80,1726.00,637.30,2146.30
62,3593.30,1456.00,2966.70,1415.00,976.70,1725.30,638.30,2088.30
63,3645.00,1474.00,2993.80,1444.50,991.10,1768.80,651.50,2109.10
64,3886.60,1580.60,3123.70,1546.80,1037.00,1899.70,718.10,2294.10
65,4172.10,1607.40,3224.80,1624.90,1080.50,2018.90,745.30,2403.60
66,4081.90,1581.70,3140.50,1589.90,1076.50,1982.10,694.00,2330.10
67,3946.70,1519.30,3068.80,1510.50,1051.10,1930.20,657.10,2264.20
68,3788.30,1418.10,2943.50,1432.10,1008.40,1844.60,640.30,2144.00
69,3557.30,1286.00,2755.60,1336.70,940.00,1709.10,585.30,2008.80
70,3226.50,1158.50,2482.20,1197.10,845.60,1541.50,527.70,1842.00
71,2881.60,1035.30,2247.00,1053.50,744.40,1363.30,471.40,2284.10
72,2686.10,894.00,2091.40,772.60,663.00,1197.40,446.00,2596.00
73,2578.10,906.50,2015.10,734.80,646.80,1159.90,439.40,2763.90
74,2516.50,931.40,1980.30,737.70,630.40,1139.20,452.10,2740.40
75,2506.10,942.70,1981.70,743.70,624.70,1133.80,435.80,2738.20
76,2550.70,928.30,2025.20,797.80,673.10,1168.70,439.40,2710.70
77,2779.00,1068.70,2224.30,889.30,728.20,1339.90,464.10,2137.00
78,3247.50,1233.20,2567.40,1041.70,865.70,1560.80,586.60,1940.90
79,3536.10,1369.20,2785.10,988.30,951.80,1697.10,636.40,2106.30
80,3535.90,1412.20,2843.40,1014.30,968.10,1699.20,632.50,2058.10
81,3585.10,1416.60,2849.40,1019.50,969.70,1674.20,641.00,2035.70
82,3630.70,1409.40,2861.20,1016.70,979.80,1663.60,572.80,2035.90
83,3607.70,1377.80,2852.90,1008.50,940.70,1624.10,560.00,2001.80
84,3586.40,1324.60,2812.60,960.60,930.60,1611.10,525.60,1983.60
85,3565.60,1318.30,2805.00,954.80,929.30,1604.40,537.40,1983.40
86,3557.90,1335.20,2800.60,967.20,940.80,1631.10,556.80,1991.90
87,3615.20,1370.00,2811.80,1013.90,956.70,1678.50,595.10,2023.90
88,3820.00,1495.70,3008.50,1166.90,1020.00,1836.60,699.80,2183.70
89,4168.80,1549.10,3180.50,1251.50,1100.20,1979.10,735.30,2358.70
90,4130.30,1509.20,3110.60,1208.70,1073.00,1986.20,674.60,2329.10
91,4014.40,1453.50,3052.20,1138.30,1050.80,1942.60,629.50,2273.70
92,3879.60,1340.40,2936.00,1067.00,1022.20,1856.90,628.80,2156.40
93,3665.60,1224.70,2768.30,991.70,959.50,1729.90,605.90,2043.40
94,3325.90,1092.90,2475.80,842.90,859.40,1531.60,536.40,1836.80
95,2994.10,966.30,2229.40,838.30,762.80,1365.30,491.10,1903.60
96,2843.50,951.10,2223.20,1026.10,753.10,1338.10,501.90,2202.70
97,2757.90,942.80,2193.80,1007.80,764.80,1325.20,497.20,2173.70
98,2693.20,933.40,2155.10,988.60,745.70,1299.70,483.90,2114.50
99,2698.00,936.20,2165.50,997.30,748.10,1307.30,525.30,2145.20
100,2754.20,970.50,2229.10,1031.40,759.90,1338.10,544.80,2181.70
101,2956.10,1098.10,2402.60,1117.60,813.90,1461.50,586.60,2069.50
102,3489.40,1292.00,2773.70,1276.40,960.50,1671.00,680.80,2059.00
103,3804.70,1446.70,3003.40,1402.90,1019.40,1817.60,735.20,2229.10
104,3790.70,1459.10,3018.10,1423.80,1028.10,1814.00,703.20,2199.00
105,3715.00,1444.90,3022.80,1414.80,1013.10,1772.00,653.50,2147.10
106,3701.70,1354.30,2945.70,1390.80,996.40,1737.20,639.40,2111.90
107,3695.80,1336.10,2928.80,1380.60,983.50,1722.60,648.30,2109.10
108,3657.10,1321.50,2941.10,1368.60,983.60,1692.10,625.50,2099.60
109,3601.50,1308.90,2913.20,1353.90,969.10,1681.10,634.30,2071.40
110,3587.50,1326.10,2920.70,1358.40,926.80,1694.60,656.40,2076.90
111,3675.90,1363.20,2963.70,1396.70,949.10,1748.80,685.80,2132.60
112,3939.90,1500.40,3179.30,1530.90,1067.60,1917.10,750.80,2279.90
113,4323.20,1561.60,3294.80,1598.50,1122.70,2064.30,769.40,2459.00
114,4270.20,1551.70,3270.00,1594.80,1115.30,2080.20,758.80,2422.30
115,4181.30,1503.90,3214.60,1559.70,1120.50,2052.10,714.90,2381.70
116,4017.90,1421.40,3128.90,1483.80,1093.10,1992.50,705.30,2282.80
117,3790.90,1303.60,2959.50,1396.20,1033.50,1864.30,658.70,2161.70
118,3454.40,1166.90,2715.40,1257.90,908.80,1643.80,601.30,1956.50
119,3059.90,990.10,2399.80,1086.30,772.40,1438.80,517.10,1742.30
120,2953.30,1015.80,2321.60,1086.10,768.30,1377.80,494.00,1975.70
121,2818.90,985.20,2251.30,1056.80,748.10,1336.70,483.70,2176.70
122,2770.90,953.00,2222.00,1030.70,747.00,1314.60,441.20,2151.90
123,2765.00,938.00,2230.50,1038.60,747.70,1321.30,440.50,2153.50
124,2842.10,965.40,2307.40,1071.60,771.60,1373.60,466.60,2208.70
125,3078.60,1070.00,2465.60,1153.50,777.90,1463.00,486.30,2067.00
126,3507.30,1284.80,2847.50,1325.40,935.00,1689.90,617.90,2050.30
127,3855.10,1455.90,3102.20,1491.20,1076.10,1823.90,708.80,2234.10
128,3919.70,1479.40,3127.10,1520.00,1070.30,1840.70,656.50,2198.90
129,3933.30,1456.80,3138.30,1513.40,1072.30,1827.80,620.10,2185.50
130,3921.80,1401.20,3093.10,1479.90,1058.50,1811.80,568.80,2162.70
131,3934.00,1395.00,3103.20,1490.80,1063.70,1807.90,571.50,2149.60
132,3873.70,1362.20,3081.90,1463.20,1048.20,1752.00,572.40,2108.80
133,3824.00,1349.40,3066.00,1446.30,1041.30,1749.30,563.20,2110.50
134,3807.90,1357.60,3070.10,1426.80,993.30,1749.30,578.80,2117.10
135,3847.60,1378.40,3076.20,1451.90,1010.10,1793.20,586.90,2160.80
136,4058.90,1513.90,3198.60,1573.60,1109.10,1951.20,673.80,2295.00
137,4438.10,1516.30,3341.10,1618.10,1115.30,2065.20,691.30,2423.50
138,4418.60,1464.50,3298.50,1588.10,1109.40,2075.50,630.40,2413.80
139,4251.90,1434.10,3224.00,1543.30,1091.70,2030.30,614.10,2364.60
140,4114.20,1413.20,3111.50,1494.10,1028.60,1937.10,657.50,2237.90
141,3931.40,1307.40,2970.90,1438.10,992.50,1844.80,635.40,2142.80
142,3627.20,1147.10,2753.30,1308.70,892.70,1672.60,570.90,1971.80
143,3269.70,1018.70,2516.50,1170.20,845.40,1508.00,559.60,1796.80
144,3138.90,1074.00,2400.80,1112.00,826.80,1479.10,532.60,1785.70
145,3021.60,1021.60,2320.60,1064.30,788.90,1417.10,504.00,1971.20
146,2932.50,1008.30,2277.00,1045.80,784.70,1386.00,493.90,2190.90
147,2915.50,1004.40,2266.50,1055.50,777.90,1378.00,492.80,2429.30
148,2906.90,1029.70,2287.20,1058.10,765.30,1375.40,500.40,2424.70
149,3021.90,1090.60,2363.30,1096.80,796.30,1429.60,533.40,1980.30
150,3216.50,1156.50,2509.50,1152.60,856.50,1551.40,566.40,2095.70
151,3445.10,1289.60,2661.00,1282.50,929.00,1647.50,610.80,1962.10
152,3661.50,1380.40,2798.10,1372.80,989.40,1739.30,641.30,2080.20
153,3845.40,1421.20,2879.40,1420.60,1013.60,1800.30,644.70,2150.90
154,3859.60,1404.30,2920.20,1427.20,1024.10,1825.20,602.40,2176.10
155,3828.70,1378.30,2947.70,1417.40,1023.30,1820.60,595.40,2152.10
156,3788.70,1344.60,2930.70,1396.20,1001.60,1760.30,583.10,2126.40
157,3714.70,1325.80,2868.60,1383.70,999.00,1750.70,577.30,2100.20
158,3688.30,1339.60,2853.90,1361.90,925.50,1721.30,584.40,2086.40
159,3701.10,1362.70,2886.70,1379.00,951.30,1763.10,603.60,2106.90
160,3955.50,1500.00,3022.10,1499.70,1086.80,1960.10,670.20,2274.50
161,4323.60,1574.20,3183.50,1586.10,1136.40,2070.40,737.70,2398.00
162,4261.10,1569.50,3145.80,1559.40,1090.80,2026.00,697.90,2335.80
163,4131.90,1496.50,3084.40,1513.80,1073.10,1964.80,679.40,2272.00
164,3987.50,1371.50,3013.10,1452.80,1036.60,1887.10,681.90,2193.40
165,3802.60,1288.50,2878.00,1376.00,970.10,1771.30,632.90,2096.40
166,3568.90,1150.70,2712.70,1270.80,900.80,1642.10,581.90,1979.00
167,3298.10,1041.70,2513.90,1144.50,836.30,1508.20,545.80,1824.20
168,3078.40,1072.10,2419.90,1103.30,808.00,1445.90,550.40,1753.30
169,2955.80,1024.80,2337.30,1069.50,775.20,1384.90,524.00,1944.60
170,2879.60,1004.90,2293.20,1041.30,756.50,1352.00,512.10,2162.90
171,2838.20,999.80,2284.50,1042.60,753.40,1348.50,515.10,2203.10
172,2885.20,1019.00,2300.60,1054.70,761.10,1361.80,501.40,2235.90
173,2941.70,1067.70,2360.70,1085.50,784.20,1395.20,539.30,2216.20
174,3116.40,1161.40,2470.60,1138.50,832.60,1476.00,575.10,2065.00
175,3328.00,1270.00,2582.70,1230.20,902.50,1568.90,620.80,1928.50
176,3529.20,1363.50,2685.10,1329.80,968.20,1670.80,664.70,2032.70
177,3655.10,1423.40,2787.90,1402.70,1009.30,1729.60,676.90,2083.50
178,3690.60,1433.10,2833.20,1428.00,1017.90,1740.40,621.60,2092.20
179,3720.40,1435.90,2852.60,1427.80,1020.10,1728.60,617.20,2082.40
180,3704.10,1413.00,2853.70,1397.90,1004.90,1687.40,621.50,2048.30
181,3668.20,1394.30,2837.90,1382.70,994.60,1679.20,595.00,2038.00
182,3664.90,1377.00,2847.30,1373.40,934.80,1687.30,601.90,2055.40
183,3728.80,1430.00,2895.80,1404.10,955.70,1719.40,626.40,2105.80
184,3998.50,1620.30,3058.20,1558.40,1093.20,1924.50,754.50,2273.70
185,4474.80,1710.00,3247.70,1665.50,1174.80,2085.00,813.00,2457.30
186,4435.80,1687.80,3258.70,1651.00,1168.20,2089.20,796.90,2429.50
187,4276.10,1630.70,3213.50,1603.80,1130.00,2015.40,753.70,2339.10
188,4135.40,1523.10,3133.30,1535.10,1093.20,1931.60,739.80,2259.70
189,3918.20,1389.60,2965.60,1438.00,1027.80,1798.60,689.10,2147.60
190,3658.10,1222.60,2730.20,1304.50,942.90,1654.00,639.30,1999.80
191,3367.80,1097.80,2512.60,1185.60,866.40,1499.20,571.80,1836.80
192,3272.30,1173.20,2499.70,1156.60,874.30,1505.50,613.50,2122.50
193,3155.70,1150.90,2442.40,1125.60,839.70,1452.40,613.20,2321.90
194,3113.30,1143.60,2424.30,1140.50,844.50,1445.60,600.60,2409.70
195,3109.80,1154.10,2454.80,1156.20,838.00,1447.30,603.10,2407.50
196,3187.00,1207.00,2534.20,1187.40,861.10,1499.20,624.50,2508.50
197,3356.40,1321.00,2698.30,1294.90,921.00,1624.60,668.00,2155.00
198,3822.60,1741.80,3071.10,1141.00,1117.30,1933.00,781.20,2331.60
199,4012.20,1854.70,3283.40,1260.90,1173.30,2060.00,827.10,2484.30
200,4010.90,1789.10,3339.40,1275.40,1150.30,2070.40,809.60,2465.60
201,4053.20,1712.60,3322.40,1270.10,1168.40,2022.20,785.30,2454.00
202,4071.70,1638.00,3298.30,1241.80,1179.70,2020.60,744.60,2447.80
203,3979.50,1602.10,3286.00,1223.50,1158.30,1980.70,740.90,2379.20
204,4044.80,1567.00,3247.70,1203.70,1108.30,1906.30,695.00,2295.30
205,4006.30,1549.10,3235.80,1191.90,1104.70,1900.30,702.70,2284.10
206,4098.30,1536.60,3222.70,1178.50,1048.00,1901.90,705.50,2284.20
207,4157.30,1560.70,3249.40,1206.40,1061.60,1926.10,712.70,2315.10
208,4407.30,1666.40,3389.60,1311.10,1171.60,2083.80,781.50,2446.30
209,4748.00,1754.90,3542.00,1404.90,1245.90,2263.00,811.00,2640.30
210,4785.30,1742.10,3531.30,1400.50,1245.00,2276.60,814.60,2634.50
211,4535.30,1684.40,3453.60,1332.70,1190.10,2179.90,771.20,2540.00
212,4389.80,1612.20,3334.00,1252.30,1144.90,2086.80,759.90,2445.90
213,4144.40,1496.70,3152.90,1166.50,1078.80,1943.80,703.60,2334.90
214,3760.50,1290.50,2882.70,1005.00,970.90,1744.10,615.90,2123.20
215,3386.40,1162.10,2614.00,859.00,890.20,1568.30,573.80,1925.50
216,3205.40,1152.80,2503.90,1170.20,840.30,1473.00,573.60,1815.70
217,3082.40,1116.70,2418.00,1147.60,821.60,1424.20,567.10,1785.80
218,3037.90,1118.20,2385.50,1131.70,807.10,1402.90,547.10,1743.90
219,3038.80,1121.10,2407.40,1136.20,809.40,1409.40,556.50,1752.30
220,3117.80,1171.00,2471.90,1176.30,831.00,1456.30,578.10,1812.80
221,3350.80,1277.90,2630.60,1261.10,861.50,1551.40,591.90,1922.10
222,3833.60,1453.50,2995.30,1428.20,1027.10,1844.40,698.30,2199.30
223,4082.80,1552.80,3212.40,1537.60,1060.00,1932.30,748.90,2305.60
224,4163.70,1592.50,3246.90,1574.30,1093.60,1910.00,761.00,2316.60
225,4098.90,1549.60,3194.60,1553.70,1083.10,1896.70,736.30,2287.70
226,4105.00,1527.90,3171.00,1547.70,1141.90,1911.40,725.20,2301.30
227,4029.60,1539.00,3148.60,1544.50,1127.80,1903.80,732.20,2275.80
228,3922.30,1507.80,3124.60,1522.10,1063.10,1862.70,723.40,2227.80
229,3881.30,1496.00,3099.20,1507.90,1059.50,1854.20,723.40,2208.80
230,3849.10,1489.30,3085.70,1490.10,1049.40,1842.10,725.90,2200.50
231,3894.60,1509.10,3104.60,1517.90,1064.40,1878.10,733.20,2225.20
232,4198.00,1606.30,3247.60,1610.40,1118.50,2005.10,770.20,2339.60
233,4508.80,1674.70,3384.50,1680.20,1163.90,2124.60,801.90,2449.70
234,4483.70,1620.90,3338.00,1646.50,1166.20,2136.30,769.20,2414.40
235,4304.60,1555.30,3256.30,1576.10,1080.50,2034.10,685.80,2359.50
236,4042.10,1470.00,3148.80,1498.30,1040.50,1935.40,665.20,2230.90
237,3797.90,1326.50,2967.90,1401.20,975.90,1777.00,628.00,2103.00
238,3419.70,1125.80,2657.20,1243.20,854.50,1576.10,529.10,1892.60
239,3031.40,1007.90,2390.70,1095.40,768.30,1388.60,482.70,1960.20
240,2874.20,956.50,2239.50,1048.60,737.90,1303.70,505.20,2416.20
241,2740.90,919.30,2163.40,1011.70,715.10,1260.20,500.60,2614.50
242,2692.30,903.40,2132.40,998.20,711.20,1238.40,488.30,2822.60
243,2675.80,891.80,2132.50,996.10,700.00,1225.70,483.40,2832.50
244,2732.60,938.10,2190.50,1031.90,710.00,1271.90,494.70,2867.50
245,2941.40,1111.40,2352.60,1118.10,763.30,1390.50,532.20,2498.50
246,3439.20,1257.30,2708.20,1282.00,894.80,1618.30,616.90,2266.80
247,3663.50,1425.00,2926.30,1426.70,965.60,1729.80,689.60,2104.50
248,3724.10,1433.20,2914.60,1437.70,975.80,1743.00,674.10,2106.40
249,3736.50,1426.90,2866.00,1427.90,981.70,1745.70,646.70,2082.60
250,3766.40,1434.70,2890.10,1452.30,1008.50,1746.20,631.10,2250.60
251,3731.60,1414.80,2867.00,1432.00,995.90,1734.10,628.50,2304.70
252,3657.60,1354.10,2839.90,1392.80,986.00,1729.40,553.20,2294.10
253,3646.90,1360.40,2839.60,1405.90,996.90,1726.50,549.00,2292.40
254,3612.20,1337.80,2816.10,1382.80,977.90,1705.50,553.80,2274.10
255,3650.70,1373.20,2832.40,1413.10,991.10,1733.00,579.70,2302.10
256,3867.10,1489.60,3016.70,1544.30,1041.90,1877.90,689.10,2206.00
257,4158.10,1552.00,3123.30,1608.20,1083.50,1993.90,717.00,2359.70
258,4097.90,1492.10,3121.50,1567.10,1079.60,2001.10,679.20,2314.50
259,3988.40,1434.70,3069.30,1506.50,1059.10,1961.40,652.40,2268.30
260,3850.40,1363.70,2976.00,1447.70,1026.00,1876.90,594.60,2161.10
261,3612.30,1231.10,2765.90,1348.60,956.40,1732.20,551.20,2029.50
262,3294.80,1087.00,2501.70,1183.20,852.30,1544.50,482.10,1832.50
263,2846.60,874.10,2242.60,1029.60,763.40,1369.50,419.80,2513.40
264,2654.90,802.10,2107.50,1018.70,700.70,1263.80,420.60,1844.90
265,2534.60,789.50,2025.40,996.00,686.30,1223.30,413.10,1793.90
266,2473.20,791.10,2003.10,987.40,659.70,1194.10,418.70,1759.10
267,2463.90,796.10,2011.90,1001.50,659.10,1193.30,421.70,1752.10
268,2532.80,816.30,2073.50,1016.60,679.20,1232.20,409.90,1787.30
269,2744.60,874.00,2185.60,1120.70,713.90,1326.20,444.00,1899.40
270,3299.80,1150.40,2540.30,1314.70,841.40,1525.80,606.60,1891.90
271,3604.50,1191.00,2760.00,1438.50,907.60,1670.70,680.50,2061.00
272,3643.90,1250.50,2795.90,1448.70,940.00,1686.90,655.40,2042.60
273,3629.70,1243.90,2808.60,1449.90,950.90,1699.90,643.60,2041.40
274,3709.70,1249.10,2848.50,1445.10,953.00,1691.40,632.10,2084.00
275,3733.10,1260.20,2868.40,1457.60,977.60,1701.70,639.90,2101.40
276,3715.10,1225.00,2854.80,1443.30,967.10,1699.10,636.80,2044.60
277,3651.50,1228.50,2868.40,1450.60,974.10,1708.60,637.20,2055.50
278,3626.30,1170.50,2829.00,1425.20,960.60,1694.80,625.20,2052.50
279,3677.70,1194.10,2845.90,1450.80,964.40,1721.20,622.60,2052.90
280,3877.30,1350.30,3001.20,1559.10,1003.30,1834.30,684.20,2118.30
281,4166.10,1421.30,3172.20,1646.60,1058.40,1967.80,707.80,2260.00
282,4103.90,1316.70,3077.70,1613.40,1041.00,1955.20,625.00,2191.50
283,3976.30,1268.70,2993.70,1549.70,1023.50,1897.60,606.00,2212.60
284,3835.00,1164.50,2865.30,1452.50,973.10,1800.20,587.50,2085.50
285,3567.80,1053.20,2686.00,1346.50,909.20,1666.20,542.50,1958.20
286,3207.90,849.20,2424.90,1174.30,802.40,1478.70,472.80,1771.60
287,2818.60,811.90,2203.80,1057.50,728.60,1345.80,436.80,1605.70
288,2521.70,747.50,2105.40,921.50,644.90,1211.80,350.50,2646.70
289,2391.60,723.90,2024.00,892.90,623.70,1168.80,358.10,2723.40
290,2333.10,694.50,1971.20,881.60,610.50,1143.30,327.00,2696.40
291,2346.20,716.20,1977.90,887.00,609.10,1144.30,344.20,2702.90
292,2449.40,764.90,2034.90,916.40,628.50,1192.10,368.30,2756.60
293,2671.70,876.90,2220.70,1022.30,715.40,1312.10,440.80,2712.20
294,3174.60,1128.80,2587.50,1221.60,799.50,1529.60,615.00,1878.20
295,3437.60,1251.90,2770.60,1355.10,894.90,1659.90,682.30,2020.70
296,3518.40,1221.10,2828.20,1376.70,903.60,1681.70,638.80,1992.40
297,3555.10,1219.00,2832.10,1385.60,930.20,1687.80,617.80,1996.70
298,3584.10,1173.00,2851.50,1377.10,920.90,1675.10,554.00,1987.70
299,3601.70,1148.20,2859.10,1377.90,940.20,1684.50,529.90,1982.90
300,3559.80,1119.60,2859.70,1367.50,922.50,1678.70,497.50,1967.20
301,3553.60,1112.90,2862.30,1357.60,926.20,1668.20,511.40,1963.60
302,3556.00,1118.30,2857.30,1348.70,900.10,1663.10,506.60,1974.60
303,3586.20,1096.60,2884.40,1354.70,904.70,1692.00,612.50,1986.00
304,3800.60,1232.40,3073.90,1442.00,968.50,1813.60,652.70,2109.30
305,4135.30,1325.40,3189.50,1532.40,1036.20,1978.50,707.10,2294.90
306,4158.30,1314.00,3177.30,1537.60,1036.40,1990.20,690.50,2257.90
307,4074.10,1303.70,3122.00,1501.50,1013.20,1939.10,678.60,2242.10
308,3953.60,1222.50,2999.20,1420.80,965.80,1848.90,679.90,2136.90
309,3742.20,1116.70,2847.90,1346.30,920.50,1726.50,653.30,2027.10
310,3509.80,1001.50,2657.80,1253.20,850.90,1592.80,599.90,1870.40
311,3152.90,893.60,2451.50,1124.50,795.20,1453.50,569.20,1721.00
312,2938.80,971.70,2404.00,1047.00,768.60,1429.90,535.80,1861.30
313,2802.70,930.10,2297.60,1009.40,732.10,1367.50,508.40,2049.20
314,2748.70,935.60,2257.90,993.50,735.80,1341.50,487.80,2130.90
315,2725.20,934.20,2263.60,996.40,732.70,1333.70,484.10,2117.50
316,2772.80,956.60,2275.40,1020.90,741.90,1353.50,489.80,2022.20
317,2857.90,1015.40,2357.30,1043.20,757.50,1412.00,542.60,1928.20
318,3099.90,1110.60,2502.30,1123.70,820.00,1516.60,590.40,1773.10
319,3338.40,1221.60,2653.90,1250.80,901.20,1639.80,640.00,1896.60
320,3516.30,1276.30,2776.10,1327.00,960.00,1726.10,649.00,1999.90
321,3685.60,1308.80,2856.00,1351.70,986.50,1774.30,644.90,2060.80
322,3735.10,1286.10,2858.30,1349.60,983.30,1792.30,614.20,2057.00
323,3667.70,1255.70,2843.90,1327.60,961.80,1760.10,556.20,2014.20
324,3650.10,1217.10,2825.20,1300.10,952.10,1747.10,556.00,1998.40
325,3585.10,1192.70,2775.90,1275.30,942.60,1719.70,550.60,1968.40
326,3541.50,1170.90,2764.70,1244.60,897.50,1694.10,540.20,1962.80
327,3522.10,1199.00,2863.70,1264.00,910.80,1735.80,553.00,1996.20
328,3724.40,1355.00,3086.40,1441.80,1020.90,1907.40,647.30,2119.90
329,4052.00,1438.30,3251.90,1544.00,1073.70,2040.00,728.60,2242.00
330,3996.60,1388.80,3244.70,1486.60,1066.40,2038.40,700.70,2228.40
331,3910.40,1351.80,3105.00,1447.90,1009.80,1923.70,638.00,2168.80
332,3805.70,1280.20,3009.20,1389.60,976.20,1845.90,645.00,2070.00
333,3633.60,1206.50,2868.30,1322.30,956.10,1740.50,651.60,1982.60
334,3370.70,1066.80,2699.40,1175.20,881.50,1651.60,583.70,1859.70
335,3078.40,955.90,2455.20,1044.30,807.50,1502.70,533.90,1696.50
336,2943.10,938.10,2365.60,1001.10,748.00,1405.00,485.10,1754.30
337,2788.70,908.20,2261.00,963.60,718.40,1337.60,464.20,1937.10
338,2705.10,884.60,2195.30,939.20,702.30,1302.10,452.90,2269.90
339,2690.80,911.80,2182.20,950.80,697.80,1293.40,461.60,2321.70
340,2726.50,894.00,2191.50,953.50,690.90,1303.40,460.40,2264.20
341,2799.80,923.50,2249.80,977.50,714.20,1345.10,477.50,2113.60
342,2957.70,1014.20,2366.50,1040.20,758.90,1424.30,522.20,1925.20
343,3145.80,1115.60,2489.90,1149.40,800.00,1493.80,582.20,1746.50
344,3311.80,1187.60,2605.20,1223.10,849.20,1561.20,604.90,1835.40
345,3444.50,1249.00,2675.60,1290.50,888.40,1604.90,582.50,1888.80
346,3482.60,1265.70,2679.80,1295.50,904.00,1624.60,566.70,1901.50
347,3527.90,1225.70,2692.50,1285.80,911.90,1639.10,545.70,1900.70
